kit_number,player_name,club,position,age,market_value_eur,nationality,birth_date
32.0,Federico Dimarco,Inter Milan,LB,27,50000000.0,Italy,"Nov 10, 1997 (27)"
30.0,Carlos Augusto,Inter Milan,LB,26,26000000.0,Brazil,"Jan 7, 1999 (26)"
2.0,Denzel Dumfries,Inter Milan,RB,29,35000000.0,Netherlands,"Apr 18, 1996 (29)"
36.0,Matteo Darmian,Inter Milan,RB,35,2500000.0,Italy,"Dec 2, 1989 (35)"
20.0,Hakan Çalhanoğlu,Inter Milan,CDM,31,30000000.0,Türkiye,"Feb 8, 1994 (31)"
8.0,Petar Sučić,Inter Milan,CM,21,14000000.0,Croatia,"Oct 25, 2003 (21)"
21.0,Kristjan Asllani,Inter Milan,CM,23,9000000.0,Albania,"Mar 9, 2002 (23)"
23.0,Nicolò Barella,Inter Milan,CM,28,75000000.0,Italy,"Feb 7, 1997 (28)"
16.0,Davide Frattesi,Inter Milan,CM,25,35000000.0,Italy,"Sep 22, 1999 (25)"
7.0,Piotr Zieliński,Inter Milan,CM,31,20000000.0,Poland,"May 20, 1994 (31)"
22.0,Henrikh Mkhitaryan,Inter Milan,CAM,36,4000000.0,Armenia,"Jan 21, 1989 (36)"
11.0,Luis Henrique,Inter Milan,CAM,23,25000000.0,Brazil,"Dec 14, 2001 (23)"
59.0,Nicola Zalewski,Inter Milan,CAM,23,12000000.0,Poland,"Jan 23, 2002 (23)"
70.0,Sebastiano Esposito,Inter Milan,CAM,23,8500000.0,Italy,"Jul 2, 2002 (23)"
10.0,Lautaro Martínez,Inter Milan,CF,27,95000000.0,Argentina,"Aug 22, 1997 (27)"
9.0,Marcus Thuram,Inter Milan,CF,28,75000000.0,France,"Aug 6, 1997 (28)"
94.0,Pio Esposito,Inter Milan,CF,20,25000000.0,Italy,"Jun 28, 2005 (20)"
14.0,Ange-Yoan Bonny,Inter Milan,CF,21,20000000.0,France,"Oct 25, 2003 (21)"
99.0,Mehdi Taremi,Inter Milan,CF,33,3500000.0,Iran,"Jul 18, 1992 (33)"
16.0,Mike Maignan,AC Milan,GK,30,25000000.0,France,"Jul 3, 1995 (30)"
1.0,Pietro Terracciano,AC Milan,GK,35,8000000.0,Italy,"Mar 8, 1990 (35)"
96.0,Lorenzo Torriani,AC Milan,GK,20,500000.0,Italy,"Jan 31, 2005 (20)"
23.0,Fikayo Tomori,AC Milan,CB,27,20000000.0,England,"Dec 19, 1997 (27)"
28.0,Malick Thiaw,AC Milan,CB,24,18000000.0,Germany,"Aug 8, 2001 (24)"
31.0,Strahinja Pavlović,AC Milan,CB,24,24000000.0,Serbia,"May 24, 2001 (24)"
46.0,Matteo Gabbia,AC Milan,CB,25,14000000.0,Italy,"Oct 21, 1999 (25)"
2.0,Pervis Estupiñán,AC Milan,LB,27,30000000.0,Ecuador,"Jan 21, 1998 (27)"
33.0,Davide Bartesaghi,AC Milan,LB,19,1800000.0,Italy,"Dec 29, 2005 (19)"
20.0,Álex Jiménez,AC Milan,RB,20,8000000.0,Spain,"May 8, 2005 (20)"
24.0,Filippo Terracciano,AC Milan,RB,22,3200000.0,Italy,"Feb 8, 2003 (22)"
30.0,Ardon Jashari,AC Milan,CDM,23,32000000.0,Switzerland,"Jul 30, 2002 (23)"
4.0,Samuele Ricci,AC Milan,CDM,23,30000000.0,Italy,"Aug 21, 2001 (23)"
19.0,Youssouf Fofana,AC Milan,CDM,26,30000000.0,France,"Jan 10, 1999 (26)"
,Ismaël Bennacer,AC Milan,CM,27,15000000.0,Algeria,"Dec 1, 1997 (27)"
,Yacine Adli,AC Milan,CM,25,11000000.0,France,"Jul 29, 2000 (25)"
80.0,Yunus Musah,AC Milan,CM,22,20000000.0,United States,"Nov 29, 2002 (22)"
8.0,Ruben Loftus-Cheek,AC Milan,CM,29,10000000.0,England,"Jan 23, 1996 (29)"
38.0,Warren Bondo,AC Milan,CM,21,10000000.0,France,"Sep 15, 2003 (21)"
14.0,Luka Modrić,AC Milan,CAM,39,4000000.0,Croatia,"Sep 9, 1985 (39)"
10.0,Rafael Leão,AC Milan,LW,26,70000000.0,Portugal,"Jun 10, 1999 (26)"
17.0,Noah Okafor,AC Milan,LW,25,24000000.0,Switzerland,"May 24, 2000 (25)"
11.0,Christian Pulisic,AC Milan,RW,26,50000000.0,United States,"Sep 18, 1998 (26)"
56.0,Alexis Saelemaekers,AC Milan,RW,26,17000000.0,Belgium,"Jun 27, 1999 (26)"
21.0,Samuel Chukwueze,AC Milan,RW,26,22000000.0,Nigeria,"May 22, 1999 (26)"
7.0,Santiago Gimenez,AC Milan,CF,24,30000000.0,Mexico,"Apr 18, 2001 (24)"
1.0,Alex Meret,Napoli,GK,28,22000000.0,Italy,"Mar 22, 1997 (28)"
32.0,Vanja Milinković-Savić,Napoli,GK,28,16000000.0,Serbia,"Feb 20, 1997 (28)"
14.0,Nikita Contini,Napoli,GK,29,21000000.0,Italy,"May 21, 1996 (29)"
25.0,Mathias Ferrante,Napoli,GK,18,200000.0,Italy,"Sep 1, 2006 (18)"
4.0,Alessandro Buongiorno,Napoli,CB,26,50000000.0,Italy,"Jun 6, 1999 (26)"
31.0,Sam Beukema,Napoli,CB,26,28000000.0,Netherlands,"Nov 17, 1998 (26)"
13.0,Amir Rrahmani,Napoli,CB,31,12000000.0,Kosovo,"Feb 24, 1994 (31)"
35.0,Luca Marianucci,Napoli,CB,21,7500000.0,Italy,"Jul 23, 2004 (21)"
5.0,Juan Jesus,Napoli,CB,34,1500000.0,Brazil,"Jun 10, 1991 (34)"
24.0,Nosa Edward Obaretin,Napoli,CB,22,650000.0,Italy,"Jan 26, 2003 (22)"
17.0,Mathías Olivera,Napoli,LB,27,20000000.0,Uruguay,"Oct 31, 1997 (27)"
37.0,Leonardo Spinazzola,Napoli,LB,32,25000000.0,Italy,"Mar 25, 1993 (32)"
22.0,Giovanni Di Lorenzo,Napoli,RB,32,12000000.0,Italy,"Aug 4, 1993 (32)"
59.0,Alessandro Zanoli,Napoli,RB,24,6000000.0,Italy,"Oct 3, 2000 (24)"
30.0,Pasquale Mazzocchi,Napoli,RB,30,2500000.0,Italy,"Jul 27, 1995 (30)"
68.0,Stanislav Lobotka,Napoli,CDM,30,25000000.0,Slovakia,"Nov 25, 1994 (30)"
6.0,Billy Gilmour,Napoli,CDM,24,20000000.0,Scotland,"Jun 11, 2001 (24)"
8.0,Scott McTominay,Napoli,CM,28,50000000.0,Scotland,"Dec 8, 1996 (28)"
99.0,Frank Anguissa,Napoli,CM,29,27000000.0,Cameroon,"Nov 16, 1995 (29)"
29.0,Luis Hasa,Napoli,CM,21,1000000.0,Italy,"Jan 6, 2004 (21)"
94.0,Coli Saco,Napoli,CM,23,15000000.0,Mali,"May 15, 2002 (23)"
11.0,Kevin De Bruyne,Napoli,CAM,34,20000000.0,Belgium,"Jun 28, 1991 (34)"
26.0,Antonio Vergara,Napoli,CAM,22,2200000.0,Italy,"Jan 16, 2003 (22)"
70.0,Noa Lang,Napoli,LW,26,25000000.0,Netherlands,"Jun 17, 1999 (26)"
7.0,David Neres,Napoli,RW,28,3000000.0,Brazil,"Mar 3, 1997 (28)"
21.0,Matteo Politano,Napoli,RW,32,10000000.0,Italy,"Aug 3, 1993 (32)"
81.0,Giacomo Raspadori,Napoli,CAM,25,25000000.0,Italy,"Feb 18, 2000 (25)"
9.0,Romelu Lukaku,Napoli,CF,32,13000000.0,Belgium,"May 13, 1993 (32)"
27.0,Lorenzo Lucca,Napoli,CF,24,22000000.0,Italy,"Sep 10, 2000 (24)"
69.0,Giuseppe Ambrosino,Napoli,CF,21,2500000.0,Italy,"Sep 10, 2003 (21)"
77.0,Walid Cheddira,Napoli,CF,27,2500000.0,Morocco,"Jan 22, 1998 (27)"
29,Michele Di Gregorio,Juventus,GK,25,18000000.0,Italy,29
1,Mattia Perin,Juventus,GK,25,2500000.0,Italy,1
23,Carlo Pinsoglio,Juventus,GK,25,200000.0,Italy,23
3,Bremer,Juventus,CB,25,50000000.0,Brazil,3
15,Pierre Kalulu,Juventus,CB,25,28000000.0,France,15
4,Federico Gatti,Juventus,CB,25,24000000.0,Italy,4
6,Lloyd Kelly,Juventus,CB,25,16000000.0,England,6
33,Tiago Djaló,Juventus,CB,25,8000000.0,Portugal,33
-,Facundo González,Juventus,CB,25,3000000.0,Uruguay,-
24,Daniele Rugani,Juventus,CB,25,3000000.0,Italy,24
27,Andrea Cambiaso,Juventus,LB,25,35000000.0,Italy,27
32,Juan Cabal,Juventus,LB,25,9000000.0,Colombia,32
40,Jonas Rouhi,Juventus,LB,25,2000000.0,Sweden,40
37,Nicolò Savona,Juventus,RB,25,12000000.0,Italy,37
25,João Mário,Juventus,RB,25,10000000.0,Portugal,25
5,Manuel Locatelli,Juventus,CDM,25,30000000.0,Italy,5
12,Arthur Melo,Juventus,CM,25,5000000.0,Brazil,12
19,Khéphren Thuram,Juventus,CM,25,40000000.0,France,19
26,Douglas Luiz,Juventus,CM,25,30000000.0,Brazil,26
16,Weston McKennie,Juventus,CM,25,22000000.0,United States,16
21,Fabio Miretti,Juventus,CAM,25,14000000.0,Italy,21
18,Filip Kostić,Juventus,LW,25,5000000.0,Serbia,18
8,Teun Koopmeiners,Juventus,CAM,25,35000000.0,Netherlands,8
17,Vasilije Adžić,Juventus,CAM,25,4000000.0,Montenegro,17
10,Kenan Yıldız,Juventus,LW,25,50000000.0,Türkiye,10
7,Francisco Conceição,Juventus,RW,25,28000000.0,Portugal,7
11,Nico González,Juventus,RW,25,24000000.0,Argentina,11
30,Jonathan David,Juventus,CF,25,45000000.0,Canada,30
9,Dušan Vlahović,Juventus,CF,25,35000000.0,Serbia,9
14,Arkadiusz Milik,Juventus,CF,25,2000000.0,Poland,14
